Delta,I,J_Q_L,J_Q_R,P1,P_el,T_L,T_R,V,abs_C,epsilon,min_eig,mu_L,mu_R,p_L,p_R,positive,score,theta_R
0.2,0.1812543491239862,0.20308158609415156,-0.09432897661975989,0.41092410430693777,0.1087526094743917,2.0,0.25,-0.6,0.034803554220607824,0.75,0.16717259591578068,-0.3,0.3,0.7,0.7,1,0.023260901768994355,0.6
0.1,0.20562383873904222,0.2664716894529504,-0.15680564212546116,0.33796412918392105,0.10966604732748918,2.0,0.25,-0.5333333333333333,0.05302792364568793,1.0,0.10888616611036026,-0.26666666666666666,0.26666666666666666,0.7,0.7,1,0.023252308181320607,1.2
0.2,0.21860415451306847,0.2839280045904908,-0.16733912218352087,0.33300106456826606,0.11658888240696985,2.0,0.25,-0.5333333333333333,0.03940739070869931,1.0,0.11963611212687682,-0.26666666666666666,0.26666666666666666,0.5,0.5,1,0.023250925736690863,1.4
0.05,0.20509555832902948,0.269057733061291,-0.14600039806387333,0.3554838116056533,0.12305733499741768,2.0,0.3,-0.6,0.020463038014457553,1.0,0.15720342678146013,-0.3,0.3,0.5,0.5,1,0.023208928416983823,0.6
0.2,0.17137838003569128,0.23710392799558183,-0.13427689997416725,0.34355356392850345,0.10282702802141476,2.0,0.25,-0.6,0.0675280149805776,1.0,0.09774472409614585,-0.3,0.3,0.9,0.9,1,0.023205408365517485,1.2
0.2,0.20467246865385777,0.27091227430710446,-0.1617536243583802,0.33547460359708536,0.10915864994872414,2.0,0.25,-0.5333333333333333,0.05356076881554446,1.0,0.10837463402574067,-0.26666666666666666,0.26666666666666666,0.7,0.7,1,0.023124559500270342,1.2
0.2,0.19097423946628467,0.2550977921228223,-0.14051324844305152,0.3549771091598042,0.11458454367977079,2.0,0.3,-0.6,0.03526646052725513,1.0,0.13973651663816208,-0.3,0.3,0.5,0.5,1,0.023048387430401704,1.2
0.2,0.17673938207566553,0.24507112525336727,-0.13902749600796796,0.3580838335520301,0.10604362924539931,2.0,0.3,-0.6,0.052973457358238545,1.0,0.12516574450628087,-0.3,0.3,0.9,0.9,1,0.023019148718643814,0.9
0.1,0.19165847136125458,0.2527627993810394,-0.13776771656428657,0.35619771150355684,0.11499508281675275,2.0,0.3,-0.6,0.03349722458265086,1.0,0.14053699733296038,-0.3,0.3,0.5,0.5,1,0.02298979273072235,1.2
0.05,0.1919946750906384,0.2514439058943172,-0.13624710083993427,0.3568493659418376,0.11519680505438303,2.0,0.3,-0.6,0.032541886309990053,1.0,0.1408601713670387,-0.3,0.3,0.5,0.5,1,0.022953351371451575,1.2
0.1,0.1755869679776424,0.2359206373539783,-0.1305684565673928,0.362763208324063,0.10535218078658544,2.0,0.3,-0.6,0.05177373370669987,1.0,0.12811692343003497,-0.3,0.3,0.9,0.9,1,0.022884718100659316,0.9
0.05,0.17499479580052493,0.23132141772306133,-0.12632454024274647,0.3650244556309298,0.10499687748031496,2.0,0.3,-0.6,0.05099358001228831,1.0,0.12963419582465813,-0.3,0.3,0.9,0.9,1,0.0227964584685959,0.9
0.2,0.18167624443894642,0.20019735213787893,-0.09119160547451102,0.4116102240046428,0.10900574666336785,2.0,0.25,-0.6,0.028499493471652246,0.75,0.17182226805939385,-0.3,0.3,0.5,0.5,1,0.02270616675692103,0.6
0.1,0.17511807372893812,0.19170927771992488,-0.08663843348256194,0.4112150834795632,0.10507084423736286,2.0,0.25,-0.6,0.036883856101943606,0.75,0.16854736415262964,-0.3,0.3,0.9,0.9,1,0.02267976686528744,0.6
0.2,0.16942546922850596,0.18877233980656752,-0.08711705826946417,0.4086506871067243,0.10165528153710357,2.0,0.25,-0.6,0.044482414901536683,0.75,0.1598392473120409,-0.3,0.3,0.7,0.7,1,0.02258263075594044,0.9
0.2,0.1756661924163465,0.19225621809456245,-0.08685650264475475,0.4092875227026933,0.1053997154498079,2.0,0.25,-0.6,0.03559718000082311,0.75,0.1687735800690751,-0.3,0.3,0.5,0.5,1,0.022579314769196973,0.9
0.2,0.1928402202861108,0.21331333403803368,-0.11046521655210806,0.4028321571022213,0.10284811748592576,2.0,0.25,-0.5333333333333333,0.04244068113715014,0.75,0.15759102075112164,-0.26666666666666666,0.26666666666666666,0.9,0.9,1,0.022511729504145817,0.6
0.1,0.17900935116071504,0.19413834690743614,-0.08673273621100694,0.4097591339740353,0.10740561069642902,2.0,0.25,-0.6,0.029904157455641293,0.75,0.17461150318129096,-0.3,0.3,0.7,0.7,1,0.02246467905026571,0.6
0.05,0.18669311876864525,0.2443208837666319,-0.13230501250544496,0.35749798787989584,0.11201587126118714,2.0,0.3,-0.6,0.03387109428740447,1.0,0.1363807328763132,-0.3,0.3,0.5,0.5,1,0.02246411007685734,1.4
0.2,0.20472630655708504,0.2775088932768615,-0.16832152977974935,0.3548031740021149,0.10918736349711201,2.0,0.3,-0.5333333333333333,0.04047964852523547,1.0,0.13664598516188356,-0.26666666666666666,0.26666666666666666,0.9,0.9,1,0.02244485654468058,0.6
0.1,0.18621671254202923,0.24520572103833205,-0.1334756935131143,0.35674807141623643,0.11173002752521753,2.0,0.3,-0.6,0.03423226411910336,1.0,0.13654697686979198,-0.3,0.3,0.5,0.5,1,0.02242176299407893,1.4
0.2,0.18537675314898003,0.24677767068745285,-0.135551618798065,0.35522486551528787,0.11122605188938801,2.0,0.3,-0.6,0.034834851633460576,1.0,0.136821991143492,-0.3,0.3,0.5,0.5,1,0.022338262583009076,1.4
0.2,0.2104316149666042,0.28074499509030487,-0.16851480044144915,0.35348880215177525,0.11223019464885557,2.0,0.3,-0.5333333333333333,0.03274553414232393,1.0,0.1434004365012004,-0.26666666666666666,0.26666666666666666,0.7,0.7,1,0.02229404637862846,0.6
0.05,0.23401306709854836,0.29383702705826253,-0.18463092907894005,0.33960194677062383,0.10920609797932257,2.0,0.25,-0.4666666666666667,0.042886978267882056,1.0,0.1267668359007193,-0.23333333333333334,0.23333333333333334,0.9,0.9,1,0.02227022262508842,0.6
0.1,0.23382957116075545,0.29880408765797395,-0.18968362111628773,0.3384074493524914,0.10912046654168588,2.0,0.25,-0.4666666666666667,0.043409016510106264,1.0,0.12576963199167487,-0.23333333333333334,0.23333333333333334,0.9,0.9,1,0.02226886098414987,0.6
0.05,0.19419777518390385,0.24865568738131372,-0.14508354061656492,0.34096902749778574,0.10357214676474873,2.0,0.25,-0.5333333333333333,0.05563505769952449,1.0,0.10194762097070015,-0.26666666666666666,0.26666666666666666,0.7,0.7,1,0.022266060862927907,1.4
0.1,0.2037400693714984,0.2671465321687116,-0.15848516183724579,0.3571817984486242,0.10866137033146582,2.0,0.3,-0.5333333333333333,0.03891354834154744,1.0,0.13967591486501965,-0.26666666666666666,0.26666666666666666,0.9,0.9,1,0.022253016845565722,0.6
0.05,0.17523686167124702,0.23038424941471708,-0.12524213241196905,0.3601568684101765,0.10514211700274821,2.0,0.3,-0.6,0.04579855842905053,1.0,0.12753683838391155,-0.3,0.3,0.7,0.7,1,0.0222297055517359,1.2
0.1,0.17493304569116203,0.2324869521020977,-0.12752712468740054,0.3589172491647936,0.10495982741469721,2.0,0.3,-0.6,0.04649679347627727,1.0,0.12701272284151446,-0.3,0.3,0.7,0.7,1,0.022222131163230012,1.2
0.2,0.23312227057760804,0.3082000035551513,-0.1994096106189342,0.3361749690337353,0.10879039293621709,2.0,0.25,-0.4666666666666667,0.044193370973023394,1.0,0.12382428777036208,-0.23333333333333334,0.23333333333333334,0.9,0.9,1,0.022213734573150533,0.6
0.2,0.17442690010124645,0.23658968757497167,-0.13193354751422365,0.3563810857484523,0.10465614006074787,2.0,0.3,-0.6,0.04767935231934532,1.0,0.12594786964583546,-0.3,0.3,0.7,0.7,1,0.02219839541499398,1.2
0.2,0.1952378256160388,0.21209083101928977,-0.10796399069073578,0.40378898073023406,0.10412684032855403,2.0,0.25,-0.5333333333333333,0.035732901350666944,0.75,0.16354404102010292,-0.26666666666666666,0.26666666666666666,0.7,0.7,1,0.022184514745153597,0.6
0.2,0.16083209934504308,0.18285327196010648,-0.08635401235308071,0.40756711965147063,0.09649925960702585,2.0,0.25,-0.6,0.053082742405159866,0.75,0.1503682032130868,-0.3,0.3,0.9,0.9,1,0.022164873980813116,0.9
0.1,0.19356224807948522,0.25041859783792614,-0.14718539886220067,0.33963738418951445,0.10323319897572544,2.0,0.25,-0.5333333333333333,0.05557607489946495,1.0,0.10199430636619938,-0.26666666666666666,0.26666666666666666,0.7,0.7,1,0.022152938834304785,1.4
0.05,0.2030194429857186,0.26168539493319204,-0.1534083586741418,0.3584975981513818,0.10827703625904993,2.0,0.3,-0.5333333333333333,0.0379913698458512,1.0,0.14114157170549657,-0.26666666666666666,0.26666666666666666,0.9,0.9,1,0.022122624763129876,0.6
0.05,0.17198899303309378,0.18443103440097494,-0.08123763858111874,0.41280271237001587,0.10319339581985627,2.0,0.25,-0.6,0.03474094515998706,0.75,0.1716496881734967,-0.3,0.3,0.9,0.9,1,0.022111473001241992,0.6
0.1,0.21067798121657103,0.27397692837512333,-0.16161533839295217,0.3533278204349923,0.11236158998217122,2.0,0.3,-0.5333333333333333,0.030472110308590466,1.0,0.1461871159237613,-0.26666666666666666,0.26666666666666666,0.7,0.7,1,0.022097958792711005,0.6
0.1,0.18134999110400224,0.1949161927690866,-0.08610619810668513,0.4094658770275461,0.10880999466240134,2.0,0.25,-0.6,0.02312200258764698,0.75,0.18067479404635756,-0.3,0.3,0.5,0.5,1,0.02207992517246812,0.6
