Delta,Delta_over_gamma,P1,S_perp,T_L,T_R,T_R_over_T_L,V,abs_C,epsilon,gamma_L,gamma_R,gamma_R_over_L,min_eig,mu_L,mu_R,p_L,p_R,positive,scan,theta_R
0.1,0.1,0.6105527984387571,0.27449050329467856,1.5,0.4,,,0.13724525164733928,0.0,1.0,1.0,,0.15658708222081957,0.6,-0.6,0.95,0.95,1,grid,1.4
0.15,0.15,0.563491726301401,0.05838189764843334,1.5,0.4,,,0.02919094882421667,0.0,1.0,1.0,,0.24817141608837945,0.6,-0.6,0.5,0.5,1,grid,0.4
0.15,0.15,0.5646844199187478,0.07694076878758199,1.5,0.4,,,0.038470384393790996,0.0,1.0,1.0,,0.24078766936688312,0.6,-0.6,0.7,0.7,1,grid,0.4
0.15,0.15,0.5676212342047928,0.09144894385423903,1.5,0.4,,,0.045724471927119516,0.0,1.0,1.0,,0.23494585477200292,0.6,-0.6,0.85,0.85,1,grid,0.4
0.15,0.15,0.5765604493795247,0.10359449037069848,1.5,0.4,,,0.05179724518534924,0.0,1.0,1.0,,0.23042066803533667,0.6,-0.6,0.95,0.95,1,grid,0.4
0.15,0.15,0.5637317152749239,0.07652226919543245,1.5,0.4,,,0.038261134597716226,0.0,1.0,1.0,,0.24206406514110726,0.6,-0.6,0.5,0.5,1,grid,0.5428571428571429
0.15,0.15,0.5658464644075234,0.10154332637970993,1.5,0.4,,,0.05077166318985497,0.0,1.0,1.0,,0.2313111601932583,0.6,-0.6,0.7,0.7,1,grid,0.5428571428571429
0.15,0.15,0.5707124284286709,0.12171609298879743,1.5,0.4,,,0.060858046494398715,0.0,1.0,1.0,,0.22342564964333192,0.6,-0.6,0.85,0.85,1,grid,0.5428571428571429
0.15,0.15,0.5831240760722771,0.13959627359577714,1.5,0.4,,,0.06979813679788857,0.0,1.0,1.0,,0.21815151191728438,0.6,-0.6,0.95,0.95,1,grid,0.5428571428571429
0.15,0.15,0.5640709964598859,0.09236569668048189,1.5,0.4,,,0.046182848340240945,0.0,1.0,1.0,,0.23567851209039775,0.6,-0.6,0.5,0.5,1,grid,0.6857142857142857
0.15,0.15,0.5672876207396288,0.12363763570865291,1.5,0.4,,,0.061818817854326455,0.0,1.0,1.0,,0.22181377396866558,0.6,-0.6,0.7,0.7,1,grid,0.6857142857142857
0.15,0.15,0.5741354658854563,0.14957873175343564,1.5,0.4,,,0.07478936587671782,0.0,1.0,1.0,,0.21218820866168042,0.6,-0.6,0.85,0.85,1,grid,0.6857142857142857
0.15,0.15,0.5888047173220199,0.1730411376803373,1.5,0.4,,,0.08652056884016865,0.0,1.0,1.0,,0.20641245276928505,0.6,-0.6,0.95,0.95,1,grid,0.6857142857142857
0.15,0.15,0.5645237840946822,0.10551285446921911,1.5,0.4,,,0.052756427234609556,0.0,1.0,1.0,,0.22935336713504173,0.6,-0.6,0.5,0.5,1,grid,0.8285714285714285
0.15,0.15,0.568962239121972,0.14270510983494464,1.5,0.4,,,0.07135255491747232,0.0,1.0,1.0,,0.21263997261449968,0.6,-0.6,0.7,0.7,1,grid,0.8285714285714285
0.15,0.15,0.5776620304742028,0.17428679501925823,1.5,0.4,,,0.08714339750962911,0.0,1.0,1.0,,0.20147198467352057,0.6,-0.6,0.85,0.85,1,grid,0.8285714285714285
0.15,0.15,0.5935263362398284,0.20274216171557463,1.5,0.4,,,0.10137108085778732,0.0,1.0,1.0,,0.19522471450807,0.6,-0.6,0.95,0.95,1,grid,0.8285714285714285
0.15,0.15,0.565101259809974,0.11568573360066273,1.5,0.4,,,0.05784286680033136,0.0,1.0,1.0,,0.22330530688008712,0.6,-0.6,0.5,0.5,1,grid,0.9714285714285714
0.15,0.15,0.5708237371842271,0.1583244746602522,1.5,0.4,,,0.0791622373301261,0.0,1.0,1.0,,0.20398041348724935,0.6,-0.6,0.7,0.7,1,grid,0.9714285714285714
